3433,1,1004,"Lecture","M,W,F","12:55 PM-01:45 PM","MILLER, G. A.",60,9
3438,1,1004,"Lecture","M,W,F","02:00 PM-02:50 PM","KOWALESKI-JONES, L.",60,33
3438,70,1004,"Lecture","M","06:30 PM-09:30 PM","KOSTUCHENKO, O. A.",40,40
3471,20,1004,"Lecture","H","06:30 PM-09:30 PM","KEARIN, T.",40,24
3471,50,1004,"Lecture","S","09:00 AM-12:00 PM","SHELBY, J.",40,7
3472,1,1004,"Lecture","T,H","10:45 AM-12:05 PM","COLLETTE, J. P.",60,63
3473,1,1004,"Lecture","T,H","07:30 AM-08:50 AM","COLLETTE, J. P.",40,56
3473,2,1004,"Lecture","T,H","12:25 PM-01:45 PM","COLLETTE, J. P.",40,38
3474,1,1004,"Lecture","T,H","12:25 PM-01:45 PM","KUO, W. H.",40,4
3560,1,1004,"Lecture","H","06:30 PM-09:30 PM","TYLER, D.",60,59
3561,1,1004,"Lecture","T,H","07:30 AM-08:50 AM","BENCH, L. L.",60,55
3561,10,1004,"Lecture","H","06:30 PM-09:30 PM","HOSSAIN, I.",60,59
3562,1,1004,"Lecture","M,W,F","12:55 PM-01:45 PM","MARTINEZ, T. A.",99,101
3563,10,1004,"Lecture","H","06:30 PM-09:30 PM","HINES, M. E.",60,29
3563,70,1004,"Lecture","T","06:30 PM-09:30 PM","HOSSAIN, I.",40,47
3564,10,1004,"Lecture","W","06:30 PM-09:30 PM","TYLER, D.",60,58
3593,1,1004,"Independent Study","TBA","TBA","BENCH, L. L.",30,12
3950,1,1004,"Independent Study","TBA","TBA","RHODEWALT, F.",5,0
3950,2,1004,"Independent Study","TBA","TBA","MARTINEZ, T. A.",5,2
3950,5,1004,"Independent Study","TBA","TBA","GUBIN, O. I.",5,1
3951,1,1004,"Independent Study","TBA","TBA","RHODEWALT, F.",5,0
3952,1,1004,"Independent Study","TBA","TBA","RHODEWALT, F.",5,0
3952,4,1004,"Independent Study","TBA","TBA","GOODMAN, M. N.",5,1
3952,5,1004,"Independent Study","TBA","TBA","GILLESPIE, D. L.",5,2
3965,1,1004,"Lecture","M,W,F","02:00 PM-02:50 PM","KENTOR, J. D.",50,7
1010,2,1008,"Lecture","M,W,F","12:55 PM-01:45 PM","BURNS, T. J.",200,192
1010,3,1008,"Lecture","M,W,F","07:30 AM-08:20 AM","RIGBY, B. D.",60,61
1010,4,1008,"Lecture","T,H","02:00 PM-03:20 PM","RIGBY, B. D.",60,65
1010,10,1008,"Lecture","M","06:30 PM-09:30 PM","TELFORD, T. A.",60,59
1010,20,1008,"Lecture","T","06:30 PM-09:30 PM","KEARIN, T.",40,33
1010,70,1008,"Lecture","W","06:30 PM-09:30 PM","TELFORD, T. A.",50,45
1020,1,1008,"Lecture","M,W,F","10:45 AM-11:35 AM","GOODMAN, M. N.",60,63
1020,2,1008,"Lecture","T,H","07:30 AM-08:50 AM","WILLIGAN, J. D.",60,56
3020,1,1008,"Lecture","T,H","10:45 AM-12:05 PM","WILLIGAN, J. D.",60,59
3020,2,1008,"Lecture","T,H","02:00 PM-03:20 PM","WILLIGAN, J. D.",60,51
3020,10,1008,"Lecture","W","06:30 PM-09:30 PM","HOSSAIN, S.",60,27
3030,1,1008,"Lecture","M,W,F","10:45 AM-11:35 AM","GUBIN, O. I.",60,31
3111,2,1008,"Lecture","T,H","10:45 AM-12:05 PM","MILLER, G. A.",60,41
3111,5,1008,"Lecture","T,H","09:10 AM-10:30 AM","MILLER, G. A.",60,43
3111,10,1008,"Lecture","W","06:45 PM-09:45 PM","BENCH, L. L.",60,19
3111,20,1008,"Lecture","M","06:30 PM-09:30 PM","GOODMAN, M. N.",40,12
3111,70,1008,"Lecture","H","06:30 PM-09:30 PM","ALLEN, T. D.",40,38
3112,1,1008,"Lecture","M,W,F","02:00 PM-02:50 PM","KUO, W. H.",60,11
3112,2,1008,"Lecture","T,H","09:10 AM-10:30 AM","KENTOR, J. D.",60,53
3140,1,1008,"Lecture","M,W,F","12:55 PM-01:45 PM","GUBIN, O. I.",60,12
3140,2,1008,"Lecture","T,H","10:45 AM-12:05 PM","SHARDA, B. D.",60,46
3140,10,1008,"Lecture","W","06:30 PM-09:30 PM","KOSTUCHENKO, O. A.",60,38
