,Semester,SNum,Days,CurrentEnroll,Status_Instructor,LowerDiv,Year,Location,Time2,Days2,CNum,Area,CredHours,NumAttributes,CrossList,Req,s2,SYear
85,fall,1,TBA,15,A,0,2002,main,,2,3593,Crim,3,0,0,0,2,2002.2
86,fall,1,TBA,0,P,0,2002,main,,2,3950,,NA,NA,NA,NA,2,2002.2
87,fall,1,TBA,0,P,0,2002,main,,2,3952,,NA,NA,NA,NA,2,2002.2
88,fall,3,"T,H",88,A,1,2007,main,Morning,2,1010,None,4,0,0,1,2,2007.2
89,fall,4,"T,H",100,G,1,2007,main,Morning,2,1010,None,4,0,0,1,2,2007.2
90,fall,20,H,19,A,1,2007,bountiful,Evening,1,1010,None,4,0,0,1,2,2007.2
91,fall,2,"M,W,F",192,P,1,2000,main,Morning,3,1010,None,4,0,0,1,2,2000.2
92,fall,20,H,9,A,0,2008,bountiful,Evening,1,3140,None,3,0,0,1,2,2008.2
93,fall,1,"M,W,F",77,A,0,2008,main,Morning,3,3337,DV,3,2,1,0,2,2008.2
94,fall,1,"T,H",56,P,0,2008,main,Morning,2,3365,DV,3,2,1,0,2,2008.2
95,fall,1,"M,W,F",19,A,0,2008,main,Morning,3,3380,DV,3,1,1,0,2,2008.2
96,fall,70,T,29,A,0,2008,sandy,Evening,1,3380,DV,3,1,1,0,2,2008.2
97,fall,1,TBA,6,G,0,2008,main,,2,3393,DV,3,0,0,0,2,2008.2
98,fall,20,M,9,G,0,2008,bountiful,Evening,1,3433,Global,3,0,0,0,2,2008.2
99,fall,1,"T,H",23,G,0,2008,main,Morning,2,3435,Global,3,0,0,0,2,2008.2
100,fall,1,"M,W,F",28,G,0,2008,main,Afternoon,3,3436,Global,3,0,0,0,2,2008.2
101,fall,1,T,17,P,0,2008,main,Evening,1,3439,Global,3,0,0,0,2,2008.2
102,fall,70,T,27,A,0,2007,sandy,Evening,1,3111,None,3,0,0,1,2,2007.2
103,fall,1,"M,W,F",29,G,0,2007,main,Morning,3,3112,None,4,2,0,1,2,2007.2
104,fall,2,"M,W,F",14,P,0,2007,main,Morning,3,3112,None,4,2,0,1,2,2007.2
105,fall,2,"M,W,F",159,A,1,2006,main,Morning,3,1010,None,4,0,0,1,2,2006.2
106,fall,3,"T,H",66,A,1,2006,main,Morning,2,1010,None,4,0,0,1,2,2006.2
107,fall,20,H,27,A,1,2006,bountiful,Evening,1,1010,None,4,0,0,1,2,2006.2
108,fall,70,T,40,G,1,2006,sandy,Evening,1,1010,None,4,0,0,1,2,2006.2
109,fall,1,TBA,20,P,1,2006,main,,2,1015,None,2,0,0,1,2,2006.2
110,fall,1,"T,H",56,G,0,2008,main,Morning,2,3638,Pop,3,0,1,0,2,2008.2
111,fall,10,T,27,A,0,2008,main,Evening,1,3638,Pop,3,0,1,0,2,2008.2
112,fall,1,"T,H",77,P,0,2008,main,Afternoon,2,3650,Pop,3,3,0,0,2,2008.2
113,fall,10,T,67,P,1,2001,main,Evening,1,1010,None,4,0,0,1,2,2001.2
114,fall,20,H,36,A,1,2001,bountiful,Evening,1,1010,None,4,0,0,1,2,2001.2
115,fall,70,W,48,A,1,2001,sandy,Evening,1,1010,None,4,0,0,1,2,2001.2
116,fall,1,"T,H",56,A,1,2001,main,Morning,2,1020,None,3,0,0,0,2,2001.2
117,fall,2,"M,W,F",55,P,1,2001,main,Morning,3,1020,None,3,0,0,0,2,2001.2
118,fall,1,"M,W,F",56,A,0,2001,main,Morning,3,3020,None,3,0,0,0,2,2001.2
119,fall,2,"T,H",54,A,0,2001,main,Morning,2,3020,None,3,0,0,0,2,2001.2
120,fall,1,"M,W,F",33,A,0,2003,main,Morning,3,3337,DV,3,2,1,0,2,2003.2
121,fall,2,"M,W,F",33,A,0,2003,main,Morning,3,3337,DV,3,2,1,0,2,2003.2
122,fall,2,"T,H",32,A,0,2001,main,Morning,2,3030,None,3,0,0,0,2,2001.2
123,fall,1,"M,W,F",68,P,0,2003,main,Morning,3,3365,DV,3,2,1,0,2,2003.2
124,fall,10,W,47,A,0,2003,main,Evening,1,3431,,NA,NA,NA,NA,2,2003.2
125,fall,20,W,10,A,0,2008,bountiful,Evening,1,3111,None,3,0,0,1,2,2008.2
126,fall,1,"M,W,F",27,G,0,2008,main,Morning,3,3112,None,4,2,0,1,2,2008.2
127,fall,2,"T,H",22,P,0,2008,main,Morning,2,3112,None,4,2,0,1,2,2008.2
128,fall,10,W,47,P,0,2008,main,Evening,1,3112,None,4,2,0,1,2,2008.2
129,fall,70,H,24,G,0,2008,sandy,Evening,1,3112,None,4,2,0,1,2,2008.2
130,fall,1,"M,W,F",30,A,0,2008,main,Morning,3,3140,None,3,0,0,1,2,2008.2
131,fall,2,"T,H",72,A,0,2008,main,Morning,2,3140,None,3,0,0,1,2,2008.2
132,fall,1,"T,H",8,P,0,2001,main,Morning,2,3140,None,3,0,0,1,2,2001.2
133,fall,2,"M,W,F",45,P,0,2001,main,Morning,3,3140,None,3,0,0,1,2,2001.2
134,fall,4,"T,H",65,A,1,2000,main,Afternoon,2,1010,None,4,0,0,1,2,2000.2
135,fall,1,TBA,9,A,0,2000,main,,2,3593,Crim,3,0,0,0,2,2000.2
136,fall,1,TBA,0,P,0,2000,main,,2,3950,,NA,NA,NA,NA,2,2000.2
137,fall,1,TBA,0,P,0,2000,main,,2,3951,,NA,NA,NA,NA,2,2000.2
138,fall,3,TBA,1,P,0,2000,main,,2,3951,,NA,NA,NA,NA,2,2000.2
139,fall,1,TBA,0,P,0,2000,main,,2,3952,,NA,NA,NA,NA,2,2000.2
140,fall,1,"M,W,F",60,G,1,2009,main,Morning,3,1020,None,3,0,0,0,2,2009.2
141,fall,70,M,15,G,0,2009,sandy,Evening,1,3020,None,3,0,0,0,2,2009.2
142,fall,10,H,43,A,0,2008,main,Evening,1,3560,Crim,3,0,0,0,2,2008.2
143,fall,1,"M,W,F",32,A,0,2008,main,Morning,3,3561,Crim,3,0,0,0,2,2008.2
144,fall,2,"T,H",67,A,0,2008,main,Morning,2,3561,Crim,3,0,0,0,2,2008.2
145,fall,20,T,8,A,0,2008,bountiful,Evening,1,3561,Crim,3,0,0,0,2,2008.2
146,fall,1,"T,H",60,P,0,2008,main,Morning,2,3562,Crim,3,0,0,0,2,2008.2
147,fall,10,H,27,A,0,2008,main,Evening,1,3563,Crim,3,0,0,0,2,2008.2
148,fall,10,W,42,A,0,2008,main,Evening,1,3567,Crim,3,0,0,0,2,2008.2
149,fall,1,TBA,15,A,0,2008,main,,2,3593,Crim,3,0,0,0,2,2008.2
150,fall,1,"T,H",41,P,0,2009,main,Morning,2,3140,None,3,0,0,1,2,2009.2
151,fall,2,"T,H",29,A,0,2009,main,Morning,2,3140,None,3,0,0,1,2,2009.2
152,fall,90,TBA,49,A,0,2009,online,,2,3140,None,3,0,0,1,2,2009.2
153,fall,1,"T,H",126,P,0,2009,main,Morning,2,3337,DV,3,2,1,0,2,2009.2
154,fall,20,W,15,A,0,2009,bountiful,Evening,1,3337,DV,3,2,1,0,2,2009.2
155,fall,1,"M,W,F",2,A,0,2009,main,Morning,3,3365,DV,3,2,1,0,2,2009.2
156,fall,2,"T,H",34,G,0,2009,main,Morning,2,3365,DV,3,2,1,0,2,2009.2
157,fall,90,TBA,67,A,0,2009,online,,2,3365,DV,3,2,1,0,2,2009.2
158,fall,90,TBA,55,A,0,2009,online,,2,3380,DV,3,1,1,0,2,2009.2
159,fall,1,"T,H",88,P,0,2009,main,Morning,2,3381,DV,3,1,0,0,2,2009.2
160,fall,10,W,38,A,0,2001,main,Evening,1,3020,None,3,0,0,0,2,2001.2
161,fall,1,"M,W,F",31,P,0,2001,main,Morning,3,3030,None,3,0,0,0,2,2001.2
162,fall,70,T,26,G,0,2009,sandy,Evening,1,3436,Global,3,0,0,0,2,2009.2
163,fall,1,"M,W,F",229,P,1,2005,main,Morning,3,1010,None,4,0,0,1,2,2005.2
164,fall,1,"M,W,F",46,P,0,2001,main,Morning,3,3111,None,3,0,0,1,2,2001.2
165,fall,2,"T,H",32,P,0,2001,main,Morning,2,3111,None,3,0,0,1,2,2001.2
166,fall,3,"T,H",24,P,0,2001,main,Morning,2,3111,None,3,0,0,1,2,2001.2
167,fall,20,W,13,A,0,2001,bountiful,Evening,1,3111,None,3,0,0,1,2,2001.2
168,fall,70,T,30,A,0,2001,sandy,Evening,1,3111,None,3,0,0,1,2,2001.2
169,fall,1,"M,W,F",53,P,0,2001,main,Morning,3,3112,None,4,2,0,1,2,2001.2
170,fall,2,"T,H",33,P,0,2001,main,Morning,2,3112,None,4,2,0,1,2,2001.2
171,fall,10,W,24,P,0,2001,main,Evening,1,3112,None,4,2,0,1,2,2001.2
172,fall,1,"T,H",28,A,0,2009,main,Morning,2,3562,Crim,3,0,0,0,2,2009.2
173,fall,1,"M,W,F",18,P,0,2009,main,Afternoon,3,3563,Crim,3,0,0,0,2,2009.2
174,fall,10,W,17,A,0,2009,main,Evening,1,3567,Crim,3,0,0,0,2,2009.2
175,fall,1,M,19,A,0,2009,main,Evening,1,3568,Crim,3,0,0,0,2,2009.2
176,fall,1,"M,W,F",31,A,0,2009,main,Morning,3,3569,Crim,3,0,0,0,2,2009.2
177,fall,1,TBA,13,A,0,2009,main,,2,3593,Crim,3,0,0,0,2,2009.2
178,fall,1,"T,H",35,P,0,2009,main,Morning,2,3638,Pop,3,0,1,0,2,2009.2
179,fall,90,TBA,41,G,0,2009,online,,2,3638,Pop,3,0,1,0,2,2009.2
180,fall,1,"M,W,F",54,P,0,2009,main,Morning,3,3650,Pop,3,3,0,0,2,2009.2
181,fall,90,TBA,33,P,0,2009,online,,2,3671,Pop,3,0,1,0,2,2009.2
182,fall,1,"M,W,F",31,A,0,2009,main,Morning,3,3042,None,3,0,0,0,2,2009.2
183,fall,1,"T,H",55,P,0,2009,main,Morning,2,3111,None,3,0,0,1,2,2009.2
184,fall,10,W,22,P,0,2009,main,Evening,1,3111,None,3,0,0,1,2,2009.2
185,fall,70,W,14,A,0,2009,sandy,Evening,1,3111,None,3,0,0,1,2,2009.2
186,fall,1,"M,W,F",13,G,0,2009,main,Morning,3,3112,None,4,2,0,1,2,2009.2
187,fall,2,"T,H",15,P,0,2009,main,Morning,2,3112,None,4,2,0,1,2,2009.2
188,fall,10,W,52,G,0,2009,main,Evening,1,3112,None,4,2,0,1,2,2009.2
189,fall,90,TBA,55,G,0,2009,online,,2,3112,None,4,2,0,1,2,2009.2
190,fall,1,TBA,1,P,0,2009,main,,2,3952,,NA,NA,NA,NA,2,2009.2
191,fall,1,TBA,0,P,0,2009,main,,2,4693,,NA,NA,NA,NA,2,2009.2
192,fall,1,TBA,0,P,0,2009,main,,2,4999,,NA,NA,NA,NA,2,2009.2
193,fall,1,"T,H",2,P,0,2009,main,Morning,2,5120,,NA,NA,NA,NA,2,2009.2
194,fall,2,"T,H",38,G,1,2006,main,Afternoon,2,1020,None,3,0,0,0,2,2006.2
195,fall,1,"M,W,F",45,A,0,2006,main,Morning,3,3020,None,3,0,0,0,2,2006.2
196,fall,10,W,31,A,0,2006,main,Evening,1,3020,None,3,0,0,0,2,2006.2
197,fall,1,"T,H",53,G,0,2006,main,Morning,2,3030,None,3,0,0,0,2,2006.2
198,fall,70,W,26,A,0,2006,sandy,Evening,1,3030,None,3,0,0,0,2,2006.2
199,fall,1,"M,W,F",32,A,0,2006,main,Morning,3,3111,None,3,0,0,1,2,2006.2
200,fall,1,TBA,6,G,0,2009,main,,2,3393,DV,3,0,0,0,2,2009.2
201,fall,1,"M,W,F",18,G,0,2009,main,Morning,3,3435,Global,3,0,0,0,2,2009.2
202,fall,1,"M,W,F",13,P,0,2006,main,Morning,3,3112,None,4,2,0,1,2,2006.2
203,fall,1,"M,W,F",46,A,0,2009,main,Morning,3,3440,Global,3,0,0,0,2,2009.2
204,fall,1,"M,W,F",18,G,0,2009,main,Morning,3,3446,Global,3,0,0,0,2,2009.2
205,fall,90,TBA,31,G,0,2009,online,,2,3480,Global,3,1,1,0,2,2009.2
206,fall,1,"M,W,F",10,P,0,2009,main,Morning,3,3485,Global,3,1,0,0,2,2009.2
207,fall,1,"T,H",35,G,0,2009,main,Morning,2,3560,Crim,3,0,0,0,2,2009.2
208,fall,10,H,20,A,0,2009,main,Evening,1,3560,Crim,3,0,0,0,2,2009.2
209,fall,1,"M,W,F",52,P,0,2009,main,Morning,3,3561,Crim,3,0,0,0,2,2009.2
210,fall,70,W,20,A,0,2009,sandy,Evening,1,3561,Crim,3,0,0,0,2,2009.2
211,fall,90,TBA,61,P,0,2009,online,,2,3561,Crim,3,0,0,0,2,2009.2
212,fall,1,H,1,P,0,2002,main,Afternoon,1,5050,,NA,NA,NA,NA,2,2002.2
213,fall,1,T,0,P,0,2002,main,Afternoon,1,5110,,NA,NA,NA,NA,2,2002.2
214,fall,1,W,0,P,0,2002,main,Afternoon,1,5120,,NA,NA,NA,NA,2,2002.2
215,fall,10,W,18,P,0,2001,main,Evening,1,3140,None,3,0,0,1,2,2001.2
216,fall,20,T,12,A,0,2001,bountiful,Evening,1,3140,None,3,0,0,1,2,2001.2
217,fall,1,"M,W,F",35,A,0,2001,main,Morning,3,3337,DV,3,2,1,0,2,2001.2
218,fall,2,"M,W,F",55,A,0,2001,main,Morning,3,3337,DV,3,2,1,0,2,2001.2
219,fall,1,"M,W,F",70,P,0,2001,main,Morning,3,3365,DV,3,2,1,0,2,2001.2
220,fall,1,"M,W,F",31,P,0,2001,main,Morning,3,3380,DV,3,1,1,0,2,2001.2
221,fall,1,"T,H",56,A,0,2001,main,Morning,2,3438,,NA,NA,NA,NA,2,2001.2
222,fall,1,"M,W,F",43,P,0,2009,main,Morning,3,3673,Pop,3,2,0,0,2,2009.2
223,fall,1,TBA,0,P,0,2009,main,,2,3877,,NA,NA,NA,NA,2,2009.2
224,fall,5,TBA,1,P,0,2009,main,,2,3877,,NA,NA,NA,NA,2,2009.2
225,fall,6,TBA,1,P,0,2009,main,,2,3877,,NA,NA,NA,NA,2,2009.2
226,fall,1,TBA,0,P,0,2009,main,,2,3950,,NA,NA,NA,NA,2,2009.2
227,fall,2,TBA,1,P,0,2009,main,,2,3950,,NA,NA,NA,NA,2,2009.2
228,fall,3,TBA,1,P,0,2009,main,,2,3950,,NA,NA,NA,NA,2,2009.2
229,fall,1,TBA,0,P,0,2009,main,,2,3951,,NA,NA,NA,NA,2,2009.2
230,fall,70,H,40,A,0,2001,sandy,Evening,1,3560,Crim,3,0,0,0,2,2001.2
231,fall,1,"M,W,F",74,P,0,2001,main,Morning,3,3561,Crim,3,0,0,0,2,2001.2
232,fall,10,T,41,A,0,2001,main,Evening,1,3561,Crim,3,0,0,0,2,2001.2
233,fall,70,W,25,A,0,2001,sandy,Morning,1,3561,Crim,3,0,0,0,2,2001.2
234,fall,1,TBA,5,A,0,2001,main,,2,3593,Crim,3,0,0,0,2,2001.2
235,fall,1,TBA,0,P,0,2001,main,,2,3950,,NA,NA,NA,NA,2,2001.2
236,fall,3,TBA,2,P,0,2001,main,,2,3950,,NA,NA,NA,NA,2,2001.2
237,fall,1,TBA,0,P,0,2001,main,,2,3952,,NA,NA,NA,NA,2,2001.2
238,fall,10,M,48,A,0,2001,main,Evening,1,3965,,NA,NA,NA,NA,2,2001.2
239,fall,11,H,38,A,0,2001,main,Evening,1,3965,,NA,NA,NA,NA,2,2001.2
240,fall,2,"T,H",48,P,0,2006,main,Morning,2,3111,None,3,0,0,1,2,2006.2
241,fall,10,T,34,A,0,2006,main,Evening,1,3111,None,3,0,0,1,2,2006.2
242,fall,2,"T,H",60,A,0,2000,main,Morning,2,3438,,NA,NA,NA,NA,2,2000.2
243,fall,2,"T,H",20,P,0,2006,main,Morning,2,3112,None,4,2,0,1,2,2006.2
244,fall,3,"T,H",22,P,0,2006,main,Morning,2,3112,None,4,2,0,1,2,2006.2
245,fall,10,H,62,A,0,2006,main,Evening,1,3112,None,4,2,0,1,2,2006.2
246,fall,1,"M,W,F",47,P,0,2006,main,Morning,3,3140,None,3,0,0,1,2,2006.2
247,fall,20,T,13,A,0,2006,bountiful,Evening,1,3140,None,3,0,0,1,2,2006.2
248,fall,70,H,42,A,0,2006,sandy,Evening,1,3140,None,3,0,0,1,2,2006.2
249,fall,1,"M,W,F",40,P,0,2006,main,Morning,3,3334,DV,3,0,0,0,2,2006.2
250,fall,1,"M,W,F",51,A,0,2006,main,Morning,3,3337,DV,3,2,1,0,2,2006.2
251,fall,10,T,56,A,0,2002,main,Evening,1,3965,,NA,NA,NA,NA,2,2002.2
252,fall,70,T,42,A,0,2000,sandy,Evening,1,3561,Crim,3,0,0,0,2,2000.2
253,fall,1,"M,W,F",57,P,0,2000,main,Afternoon,3,3562,Crim,3,0,0,0,2,2000.2
254,fall,20,H,7,A,0,2000,bountiful,Evening,1,3562,Crim,3,0,0,0,2,2000.2
255,fall,1,"M,W,F",30,P,0,2000,main,Afternoon,3,3563,Crim,3,0,0,0,2,2000.2
256,fall,1,"T,H",0,P,0,2005,main,Afternoon,2,5965,,NA,NA,NA,NA,2,2005.2
257,fall,2,"T,H",152,P,1,2009,main,Morning,2,1010,None,4,0,0,1,2,2009.2
258,fall,3,"M,W,F",57,A,1,2009,main,Morning,3,1010,None,4,0,0,1,2,2009.2
259,fall,90,TBA,120,A,1,2009,online,,2,1010,None,4,0,0,1,2,2009.2
260,fall,90,TBA,86,G,1,2009,online,,2,1015,None,2,0,0,1,2,2009.2
261,fall,2,"M,W,F",193,A,1,2003,main,Morning,3,1010,None,4,0,0,1,2,2003.2
262,fall,3,"T,H",61,A,1,2003,main,Morning,2,1010,None,4,0,0,1,2,2003.2
263,fall,4,"T,H",40,G,1,2003,main,Afternoon,2,1010,None,4,0,0,1,2,2003.2
264,fall,20,H,35,A,1,2003,bountiful,Evening,1,1010,None,4,0,0,1,2,2003.2
265,fall,70,T,45,A,1,2003,sandy,Evening,1,1010,None,4,0,0,1,2,2003.2
266,fall,1,"M,W,F",57,A,1,2003,main,Morning,3,1020,None,3,0,0,0,2,2003.2
267,fall,10,T,47,A,1,2003,main,Evening,1,1020,None,3,0,0,0,2,2003.2
268,fall,1,"T,H",48,P,0,2003,main,Morning,2,3020,None,3,0,0,0,2,2003.2
269,fall,2,"T,H",57,P,0,2003,main,Morning,2,3020,None,3,0,0,0,2,2003.2
270,fall,70,W,33,A,0,2003,sandy,Evening,1,3020,None,3,0,0,0,2,2003.2
271,fall,1,"M,W,F",39,P,0,2003,main,Morning,3,3030,None,3,0,0,0,2,2003.2
272,fall,2,"T,H",47,A,0,2003,main,Morning,2,3030,None,3,0,0,0,2,2003.2
273,fall,1,"T,H",63,P,0,2003,main,Morning,2,3111,None,3,0,0,1,2,2003.2
274,fall,10,H,55,A,0,2003,main,Evening,1,3111,None,3,0,0,1,2,2003.2
275,fall,70,T,34,A,0,2003,sandy,Evening,1,3111,None,3,0,0,1,2,2003.2
276,fall,1,"M,W,F",37,P,0,2003,main,Morning,3,3112,None,4,2,0,1,2,2003.2
277,fall,1,"M,W,F",47,P,0,2010,main,Morning,3,3561,Crim,3,0,0,0,2,2010.2
278,fall,90,TBA,64,G,0,2010,online,,2,3561,Crim,3,0,0,0,2,2010.2
